contributors,watchers,forks,stars,size,open_issues,pull_requests,releases,commits,events,average_time_close_pull_requests_first_100,average_time_close_pull_requests_last_100,average_time_close_issues_first_100,average_time_close_issues_last_100,frequency_commits_first_100,frequency_commits_last_100,frequency_events_last_100,creation_date
17,97,444,1942,18989,102,6,5,1183,67,46783808.17,46783808.17,29185461.46,27413092.87,20920.88,1702301.97,116663.8955,1473292800.0
126,154,445,4171,34402,262,22,19,2537,91,46693255.55,46693255.55,5649361.23,3143204.63,91576.03,1199899.58,81835.13187,1384128000.0
37,33,94,1130,29604,46,10,16,4027,291,46504179.7,46504179.7,110019835.6,110019835.6,224371.53,47324.75,25752.33,1534896000.0
166,154,639,3012,218990,268,30,27,4512,137,46501996.87,46501996.87,31486575.08,6839696.78,173098.78,124280.42,61542.75,1516752000.0
143,243,1035,19582,68230,122,12,80,2865,288,46311156.92,46311156.92,14903770.26,1065177.05,110609.16,228974.51,11775.42,1521763200.0
135,130,640,4596,87919,78,7,30,2383,280,46280478.14,46280478.14,97562956.27,97562956.27,75104.98,39320.37,16031.74,1489622400.0
15,45,86,591,40348,80,7,11,2428,19,46253366.86,46253366.86,2477101.0,2477101.0,25846.85,1548709.92,311241.7368,1417305600.0
16,92,207,2848,312839,11,3,15,1870,35,46154260.33,46154260.33,119925962.5,119925962.5,268928.83,583697.05,225378.3429,1460592000.0
21,94,202,1353,19750,48,1,6,3959,12,46104256.0,46104256.0,52977764.56,52977764.56,3866.14,539206.5,523420.0833,1335312000.0
26,19,208,1271,13934,10,1,19,513,104,46046490.0,46046490.0,35567674.6,35567674.6,764554.09,342452.53,74302.9,1515801600.0
9,19,236,654,154047,56,4,3,73,36,45967889.75,45967889.75,13314090.25,13314090.25,1792720.918,1792720.918,199994.0278,1495497600.0
39,191,935,3823,30526,272,29,84,2186,77,45856993.9,45856993.9,829119.23,8200768.79,55479.87,1294376.74,99367.68831,1348358400.0
62,42,86,270,95806,37,7,3,2654,2,45705637.86,45705637.86,12040910.27,12040910.27,26287.47,1645578.64,278250.5,1363046400.0
69,27,117,1599,79845,293,13,7,1800,182,45471916.23,45471916.23,6321095.13,3495875.35,203152.94,261015.89,54841.73,1566691200.0
167,58,387,3515,81736,82,14,14,1625,283,45438156.21,45438156.21,33699591.44,33699591.44,143661.73,261210.19,7730.57,1533859200.0
34,33,214,582,61908,19,6,3,1172,9,45306368.67,45306368.67,22100244.84,22100244.84,187963.1,235948.35,836442.0,1426291200.0
57,51,399,5721,124733,77,14,96,1515,284,45108292.36,45108292.36,63613453.4,63613453.4,22914.26,434916.33,17347.37,1473206400.0
146,81,256,1828,25452,175,3,25,7658,13,45108131.0,45108131.0,8938108.02,7283001.32,8256.93,1285647.41,564017.1538,1311033600.0
39,15,59,511,1978857,74,36,15,12265,300,44927520.39,44927520.39,25142578.97,25142578.97,619458.94,29646.17,8331.68,1559088000.0
40,25,119,495,97857,53,24,5,4046,186,44766794.17,44766794.17,44765860.81,44765860.81,220420.88,115146.3,46751.81,1494979200.0
