No.,repo_name,repo_url,contributors,watchers,forks,stars,size,open_issues,pull_requests,releases,commits,events,average_time_close_pull_requests_first_100,average_time_close_pull_requests_last_100,average_time_close_issues_first_100,average_time_close_issues_last_100,frequency_commits_first_100,frequency_commits_last_100,frequency_events_last_100,creation_date
953,xoseperez/espurna,https://github.com/xoseperez/espurna,166,154,639,3012,218990,268,30,27,4512,137,46501996.87,46501996.87,31486575.08,6839696.78,173098.78,124280.42,61542.75,1/24/2018
954,simdjson/simdjson,https://github.com/simdjson/simdjson,143,243,1035,19582,68230,122,12,80,2865,288,46311156.92,46311156.92,14903770.26,1065177.05,110609.16,228974.51,11775.42,3/23/2018
955,lief-project/LIEF,https://github.com/lief-project/LIEF,135,130,640,4596,87919,78,7,30,2383,280,46280478.14,46280478.14,97562956.27,97562956.27,75104.98,39320.37,16031.74,3/16/2017
956,vn-tools/arc_unpacker,https://github.com/vn-tools/arc_unpacker,15,45,86,591,40348,80,7,11,2428,19,46253366.86,46253366.86,2477101.0,2477101.0,25846.85,1548709.92,311241.7368,11/30/2014
958,xelatihy/yocto-gl,https://github.com/xelatihy/yocto-gl,16,92,207,2848,312839,11,3,15,1870,35,46154260.33,46154260.33,119925962.5,119925962.5,268928.83,583697.05,225378.3429,4/14/2016
960,freelan-developers/freelan,https://github.com/freelan-developers/freelan,21,94,202,1353,19750,48,1,6,3959,12,46104256.0,46104256.0,52977764.56,52977764.56,3866.14,539206.5,523420.0833,4/25/2012
961,aiekick/ImGuiFileDialog,https://github.com/aiekick/ImGuiFileDialog,26,19,208,1271,13934,10,1,19,513,104,46046490.0,46046490.0,35567674.6,35567674.6,764554.09,342452.53,74302.9,1/13/2018
962,atenpas/gpd,https://github.com/atenpas/gpd,9,19,236,654,154047,56,4,3,73,36,45967889.75,45967889.75,13314090.25,13314090.25,1792720.918,1792720.918,199994.0278,5/23/2017
964,daylen/stockfish-mac,https://github.com/daylen/stockfish-mac,10,28,118,512,275200,47,4,8,212,34,45917400.25,45917400.25,12472499.28,12472499.28,24820.88,3213639.62,218574.4412,1/11/2014
965,abumq/easyloggingpp,https://github.com/abumq/easyloggingpp,39,191,935,3823,30526,272,29,84,2186,77,45856993.9,45856993.9,829119.23,8200768.79,55479.87,1294376.74,99367.68831,9/23/2012
966,esa/pagmo,https://github.com/esa/pagmo,62,42,86,270,95806,37,7,3,2654,2,45705637.86,45705637.86,12040910.27,12040910.27,26287.47,1645578.64,278250.5,3/12/2013
